FIPS,"Commuting Zone ID, 2000","Commuting Zone ID, 1990","Commuting Zone ID, 1980",County Name,,FIPS,"Commuting Zone ID, 2000","Commuting Zone ID, 1990","Commuting Zone ID, 1980",County Name,note
46041,260,27602,7505,Dewey County,,46031,474,26603,7502,Corson County,combine with Corson county
46137,260,27602,7505,Ziebach County,,46031,474,26603,7502,Corson County,combine with Corson county
46095,459,27605,7509,Mellette County,,46075,680,27604,7596,Jones County,combine with other small SD counties nearby
46121,459,27605,7509,Todd County,,46075,680,27604,7596,Jones County,combine with other small SD counties nearby
30059,623,34309,5198,Meagher County,,30045,543,34203,5103,Judith Basin County,combine with Judith Basin county
30107,623,34309,4999,Wheatland County,,30045,543,34203,5103,Judith Basin County,combine with Judith Basin county
48125,627,32503,10303,Dickens County,,48269,299,32503,10303,King County,combine with King county
48345,627,30907,9905,Motley County,,48269,299,32503,10303,King County,combine with King county
48263,644,32403,10303,Kent County,,48269,299,32503,10303,King County,combine with King county
48433,644,32503,10303,Stonewall County,,48269,299,32503,10303,King County,combine with King county
46055,646,27603,7402,Haakon County,,46075,680,27604,7596,Jones County,combine with other small SD counties nearby
46071,646,27603,7402,Jackson County,,46075,680,27604,7596,Jones County,combine with other small SD counties nearby
20071,650,31003,6399,Greeley County,,20023,648,28606,12598,Cheyenne County,combine with cheyenne county
20199,650,28605,6304,Wallace County,,20023,648,28606,12598,Cheyenne County,combine with cheyenne county
30011,664,26401,8598,Carter County,,30017,487,34305,8501,Custer County,combine with Custer county
30025,664,26402,8503,Fallon County,,30017,487,34305,8501,Custer County,combine with Custer county
35003,665,34902,12602,Catron County,,35017,647,30604,12602,Grant County,combine with Grant county
56027,666,34604,7303,Niobrara County,,56015,651,27703,7302,Goshen County,combine with Goshen county
20075,672,31001,12596,Hamilton County,,20093,243,31001,13003,Kearny County,combine with Kearny county
30075,674,34307,4903,Powder River County,,30017,487,34305,8501,Custer County,combine with Custer county
46075,680,27604,7596,Jones County,,46075,680,27604,7596,Jones County,combine with other small SD counties nearby
38039,681,26804,8303,Griggs County,,38031,390,26302,8204,Foster County,combine with Foster county
46107,684,27012,7597,Potter County,,46119,6,27011,7508,Sully County,combine with Sully county
30033,685,34306,8595,Garfield County,,30069,543,34204,4902,Petroleum County,combine with Petroleum county
8009,693,28501,12599,Baca County,,8099,500,28502,12504,Prowers County,combine with Prowers county
30071,703,26408,5199,Phillips County,,30069,543,34204,4902,Petroleum County,combine with Petroleum county
16037,654,36302,04197,Custer County,,16023,88,36301,04101,Butte County,combine with Butte county
16059,654,36302,04198,Lemhi County,,16023,88,36301,04101,Butte County,combine with Butte county